"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"","","","html-keyboard-response","204","67373","0.0-1.0-267.0-0.0","0","0","71923","","null","feedback","","","null","29","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","205","67478","0.0-1.0-269.0-0.0","0","0","71923","","null","time_out","","","null","29","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","206","67980","0.0-1.0-270.0","0","0","71923","","93","ITI","","","75","29","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","207","68236","0.0-1.0-272.0","0","0","71923","","null","S1","","","null","30","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","208","68339","0.0-1.0-273.0","0","0","71923","","null","ISI","","","null","30","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","209","68595","0.0-1.0-274.0","0","0","71923","","7","S2","","","75","30","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","210","68630","0.0-1.0-275.0","0","0","71923","","33","response","","","75","30","","4","30","test","non_adjacent","5","2","O.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","211","68733","0.0-1.0-276.0-0.0","0","0","71923","","null","feedback","","","null","30","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","212","68836","0.0-1.0-278.0-0.0","0","0","71923","","null","time_out","","","null","30","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","213","69339","0.0-1.0-279.0","0","0","71923","","74","ITI","","","75","30","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","214","69594","0.0-1.0-281.0","0","0","71923","","null","S1","","","null","31","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","215","69697","0.0-1.0-282.0","0","0","71923","","27","ISI","","","75","31","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","216","69953","0.0-1.0-283.0","0","0","71923","","null","S2","","","null","31","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","217","70020","0.0-1.0-284.0","0","0","71923","","66","response","","","75","31","","4","31","test","non_adjacent","4","1","Q.jpg","M.jpg","1","0","0","","",""
"","","","html-keyboard-response","218","70123","0.0-1.0-285.0-0.0","0","0","71923","","null","feedback","","","null","31","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","219","70227","0.0-1.0-287.0-0.0","0","0","71923","","null","time_out","","","null","31","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","220","70728","0.0-1.0-288.0","0","0","71923","","24","ITI","","","75","31","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","221","70983","0.0-1.0-290.0","0","0","71923","","null","S1","","","null","32","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","222","71089","0.0-1.0-291.0","0","0","71923","","null","ISI","","","null","32","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","223","71346","0.0-1.0-292.0","0","0","71923","","44","S2","","","75","32","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","224","71398","0.0-1.0-293.0","0","0","71923","","52","response","","","75","32","","4","32","test","non_adjacent","3","1","P.jpg","M.jpg","1","0","0","","",""
"","","","html-keyboard-response","225","71501","0.0-1.0-294.0-0.0","0","0","71923","","null","feedback","","","null","32","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","226","71606","0.0-1.0-296.0-0.0","0","0","71923","","null","time_out","","","null","32","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","227","72108","0.0-1.0-297.0","0","0","71923","","184","ITI","","","75","32","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","228","72360","0.0-1.0-299.0","0","0","71923","","null","S1","","","null","33","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","229","72464","0.0-1.0-300.0","0","0","71923","","null","ISI","","","null","33","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","230","72716","0.0-1.0-301.0","0","0","71923","","27","S2","","","75","33","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","231","72759","0.0-1.0-302.0","0","0","71923","","41","response","","","75","33","","4","33","test","adjacent","3","2","P.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","232","72861","0.0-1.0-303.0-0.0","0","0","71923","","null","feedback","","","null","33","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","233","72964","0.0-1.0-305.0-0.0","0","0","71923","","null","time_out","","","null","33","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","234","73468","0.0-1.0-306.0","0","0","71923","","null","ITI","","","null","33","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","235","73722","0.0-1.0-308.0","0","0","71923","","null","S1","","","null","34","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","236","73828","0.0-1.0-309.0","0","0","71923","","null","ISI","","","null","34","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","237","74084","0.0-1.0-310.0","0","0","71923","","79","S2","","","75","34","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","238","74166","0.0-1.0-311.0","0","0","71923","","82","response","","","75","34","","4","34","test","non_adjacent","5","1","O.jpg","M.jpg","1","0","0","","",""
"","","","html-keyboard-response","239","74268","0.0-1.0-312.0-0.0","0","0","71923","","null","feedback","","","null","34","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","240","74372","0.0-1.0-314.0-0.0","0","0","71923","","null","time_out","","","null","34","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","241","74878","0.0-1.0-315.0","0","0","71923","","50","ITI","","","75","34","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","242","75130","0.0-1.0-317.0","0","0","71923","","null","S1","","","null","35","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","243","75235","0.0-1.0-318.0","0","0","71923","","null","ISI","","","null","35","","","","","","","","","","","","","","",""
