trial,is_practice,block,is_old,pair_type,timing_jitter,timing_iti,within_category,high_cat_on_left,left_cat,right_cat,left_cat_value_group,right_cat_value_group,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_kind,right_kind,left_shape,right_shape,left_color,right_color,left_img_path,right_img_path,chosen_cat,unchosen_cat,chosen_value_group,unchosen_value_group,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value
81,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
82,0,2,0,20-60,2500,2500,NaN,0,yarn,door knob,20,60,yarn3,door knob9,0,40,2.1,2.1,2.8,4,4.9,2.9,Stimuli/Experimental_stims/yarn/Aballofblueya.jpg,Stimuli/Experimental_stims/door knob/d08d31bb-7484-41db-96f9-297aeb8651cd_4.jpg,,,,,,,,
83,0,2,0,60-60,2500,2500,NaN,NaN,watch,flashlight,60,60,watch12,flashlight14,40,60,2.2,2,2.1,2.7,2.5,3.4,Stimuli/Experimental_stims/watch/snl003_MED.jpg,Stimuli/Experimental_stims/flashlight/freeplay-jonta-flashlight.jpg,,,,,,,,
84,0,2,0,80-80,2500,2500,NaN,NaN,dresser,nail polish,80,80,dresser8,nail polish4,80,80,2.3,2,2.9,2.1,1.5,4.9,Stimuli/Experimental_stims/dresser/Adresser14.jpg,Stimuli/Experimental_stims/nail polish/8027_O.jpg,,,,,,,,
85,0,2,0,40-60,2500,2500,NaN,1,watch,hand bag,60,40,watch5,hand bag4,40,60,2.2,2.3,2.1,3.9,2.5,4.5,Stimuli/Experimental_stims/watch/B000GB0Q2K.01-A4LKQQKJ91IUZ._AA280_SCLZZZZZZZ_V66976251_.jpg,Stimuli/Experimental_stims/hand bag/APURSE46.jpg,,,,,,,,
86,0,2,0,60-60,2500,2500,NaN,NaN,door knob,fan,60,60,door knob6,fan7,60,80,2.1,2.3,4,3.1,2.9,2,Stimuli/Experimental_stims/door knob/30fdcb17-b0fd-4f26-8cd8-11adde46fb79_4.jpg,Stimuli/Experimental_stims/fan/250679_lg.jpg,,,,,,,,
87,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
88,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
89,0,2,0,40-60,2500,2500,NaN,1,bongo,telescope,60,40,bongo14,telescope13,60,40,2.1,2.1,2.9,3.3,3.2,2,Stimuli/Experimental_stims/bongo/26390667.thl.jpg,Stimuli/Experimental_stims/telescope/Telescope_Pewter_br48540a.jpg,,,,,,,,
90,0,2,0,40-60,2500,2500,NaN,1,door knob,telescope,60,40,door knob4,telescope9,80,40,2.1,2.1,4,3.3,2.9,2,Stimuli/Experimental_stims/door knob/chrome scroll latch handle.jpg,Stimuli/Experimental_stims/telescope/13TELESTAND.jpg,,,,,,,,
